Time,Mass,O2,CO,NO2,NO,SO2,WaterTemp2,WaterTemp3,WaterTemp4,GapTemp,InnerWall,HandleTemp,FireTemp,OutsideSurface
25:165:85,0.000,21.46,4.57,0.82,0.29,0.81,21.19,22.69,20.94,0.00,0.00,23.50,23.25,22.75,
0:13:49,4.201,21.36,3.96,0.58,0.27,0.57,21.31,22.56,21.13,0.00,0.00,23.75,23.50,23.00,
0:13:50,4.201,21.30,4.33,0.57,0.31,0.59,21.31,22.56,21.13,0.00,0.00,23.75,23.50,23.25,
0:13:51,4.203,21.43,4.20,0.59,0.27,0.60,21.31,22.56,21.13,0.00,0.00,23.75,23.50,22.75,
0:13:52,4.205,21.33,4.08,0.60,0.30,0.58,21.31,22.56,21.13,0.00,0.00,23.75,23.50,23.25,
0:13:53,4.205,21.40,4.08,0.59,0.30,0.59,21.31,22.56,21.13,0.00,0.00,23.75,23.50,23.25,
0:13:54,4.205,21.30,4.20,0.57,0.30,0.57,21.31,22.56,21.13,0.00,0.00,23.75,23.50,23.00,
0:13:55,4.207,21.33,4.20,0.57,0.30,0.55,21.31,22.69,21.13,0.00,0.00,23.75,23.50,23.00,
0:13:56,4.206,21.36,4.45,0.59,0.30,0.60,21.31,22.88,21.13,0.00,0.00,23.75,23.50,22.75,
0:13:57,4.207,21.33,4.20,0.57,0.29,0.60,21.31,23.13,21.13,0.00,0.00,23.75,23.50,22.75,
0:13:58,4.207,21.43,4.20,0.59,0.29,0.60,21.31,23.38,21.13,0.00,0.00,23.75,23.50,23.00,
0:13:59,4.257,21.36,4.20,0.60,0.32,0.58,21.31,23.69,21.13,0.00,0.00,23.75,23.50,23.00,
0:14:00,4.198,21.36,4.33,0.58,0.31,0.55,21.31,23.75,21.13,0.00,0.00,23.75,23.50,22.75,
0:14:01,4.198,21.36,4.33,0.58,0.33,0.58,21.31,23.81,21.13,0.00,0.00,23.75,23.50,22.75,
0:14:02,4.199,21.36,4.20,0.58,0.32,0.57,21.31,23.88,21.13,0.00,0.00,23.75,23.50,22.75,
0:14:03,4.198,21.36,4.33,0.59,0.32,0.60,21.31,23.88,21.13,0.00,0.00,23.75,23.50,22.75,
0:14:04,4.197,21.30,3.96,0.57,0.27,0.59,21.31,23.88,21.13,0.00,0.00,23.75,23.50,23.00,
0:14:05,4.197,21.36,4.20,0.58,0.31,0.62,21.31,23.94,21.13,0.00,0.00,23.75,23.50,22.75,
