Time,Mass,O2,CO,NO2,NO,SO2,WaterTemp2,WaterTemp3,WaterTemp4,GapTemp,InnerWall,HandleTemp,FireTemp,OutsideSurface
0:00:04,0.000,21.12,5.55,0.63,2.17,0.62,22.69,22.63,22.50,0.00,22.75,24.25,24.25,23.75,
0:00:05,-0.000,21.09,5.43,0.64,2.17,0.65,22.69,22.63,22.50,0.00,22.75,24.25,24.25,23.75,
0:00:06,-0.001,21.09,5.30,0.65,2.18,0.64,22.69,22.63,22.50,0.00,22.75,24.25,24.25,23.75,
0:00:07,-0.001,21.06,5.43,0.64,2.17,0.64,22.69,22.63,22.50,0.00,22.75,24.25,24.25,23.75,
0:00:08,-0.001,21.06,5.30,0.64,2.17,0.62,22.69,22.63,22.56,0.00,22.75,24.25,24.00,23.75,
0:00:09,-0.001,20.97,5.43,0.63,2.16,0.62,22.69,22.63,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:10,-0.001,21.03,5.30,0.64,2.16,0.64,22.69,22.63,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:11,-0.001,21.06,5.43,0.60,2.14,0.65,22.69,22.63,22.56,0.00,22.75,24.25,24.25,24.00,
0:00:12,-0.001,21.15,5.55,0.62,2.14,0.64,22.69,22.63,22.56,0.00,22.75,24.50,24.25,23.75,
0:00:13,-0.000,21.09,5.79,0.63,2.17,0.62,22.69,22.63,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:14,-0.001,21.12,5.55,0.63,2.17,0.62,22.69,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:00:15,-0.001,21.09,5.43,0.65,2.14,0.62,22.69,22.63,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:16,-0.000,21.12,5.43,0.63,2.14,0.63,22.69,22.63,22.56,0.00,22.75,24.25,24.00,23.75,
0:00:17,-0.000,21.15,5.43,0.63,2.17,0.64,22.69,22.63,22.56,0.00,22.75,24.25,24.00,23.75,
0:00:18,-0.001,21.15,5.43,0.62,2.16,0.63,22.69,22.63,22.56,0.00,22.75,24.25,24.00,23.75,
0:00:19,-0.001,21.12,5.43,0.63,2.12,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:20,-0.000,21.03,5.30,0.62,2.11,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:21,-0.001,21.09,5.43,0.64,2.14,0.64,22.69,22.63,22.56,0.00,22.75,24.25,24.25,24.00,
0:00:22,-0.001,21.12,5.43,0.62,2.13,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.00,24.00,
0:00:23,-0.000,21.12,5.55,0.64,2.08,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.00,23.75,
0:00:24,-0.000,21.09,5.30,0.64,2.12,0.65,22.69,22.69,22.56,0.00,22.75,24.25,24.00,24.00,
0:00:25,-0.001,20.97,5.67,0.64,2.13,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:00:26,-0.000,21.06,5.43,0.65,2.13,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:27,-0.001,21.09,5.43,0.63,2.13,0.62,22.69,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:00:28,-0.000,21.15,5.43,0.64,2.13,0.63,22.69,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:00:29,-0.001,21.15,5.55,0.63,2.12,0.64,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:30,-0.001,21.33,5.43,0.62,2.13,0.63,22.69,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:00:31,-0.000,21.12,5.43,0.63,2.09,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:00:32,-0.000,21.12,5.67,0.62,2.12,0.68,22.75,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:00:33,-0.001,21.03,5.55,0.63,2.13,0.60,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:34,-0.001,21.18,5.55,0.65,2.09,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:35,-0.001,21.12,5.55,0.63,2.11,0.64,22.69,22.69,22.56,0.00,22.75,24.25,24.00,23.75,
