Time,Mass,O2,CO,NO2,NO,SO2,WaterTemp2,WaterTemp3,WaterTemp4,GapTemp,InnerWall,HandleTemp,FireTemp,OutsideSurface
0.0,21.46,4.57,0.82,0.29,0.81,21.19,22.69,20.94,0.0,0.0,23.5,23.25,22.75,
4.201,21.36,3.96,0.58,0.27,0.57,21.31,22.56,21.13,0.0,0.0,23.75,23.5,23.0,
4.201,21.3,4.33,0.57,0.31,0.59,21.31,22.56,21.13,0.0,0.0,23.75,23.5,23.25,
4.203,21.43,4.2,0.59,0.27,0.6,21.31,22.56,21.13,0.0,0.0,23.75,23.5,22.75,
4.205,21.33,4.08,0.6,0.3,0.58,21.31,22.56,21.13,0.0,0.0,23.75,23.5,23.25,
4.205,21.4,4.08,0.59,0.3,0.59,21.31,22.56,21.13,0.0,0.0,23.75,23.5,23.25,
4.205,21.3,4.2,0.57,0.3,0.57,21.31,22.56,21.13,0.0,0.0,23.75,23.5,23.0,
4.207,21.33,4.2,0.57,0.3,0.55,21.31,22.69,21.13,0.0,0.0,23.75,23.5,23.0,
4.206,21.36,4.45,0.59,0.3,0.6,21.31,22.88,21.13,0.0,0.0,23.75,23.5,22.75,
4.207,21.33,4.2,0.57,0.29,0.6,21.31,23.13,21.13,0.0,0.0,23.75,23.5,22.75,
4.207,21.43,4.2,0.59,0.29,0.6,21.31,23.38,21.13,0.0,0.0,23.75,23.5,23.0,
4.257,21.36,4.2,0.6,0.32,0.58,21.31,23.69,21.13,0.0,0.0,23.75,23.5,23.0,
4.198,21.36,4.33,0.58,0.31,0.55,21.31,23.75,21.13,0.0,0.0,23.75,23.5,22.75,
4.198,21.36,4.33,0.58,0.33,0.58,21.31,23.81,21.13,0.0,0.0,23.75,23.5,22.75,
4.199,21.36,4.2,0.58,0.32,0.57,21.31,23.88,21.13,0.0,0.0,23.75,23.5,22.75,
4.198,21.36,4.33,0.59,0.32,0.6,21.31,23.88,21.13,0.0,0.0,23.75,23.5,22.75,
4.197,21.3,3.96,0.57,0.27,0.59,21.31,23.88,21.13,0.0,0.0,23.75,23.5,23.0,
4.197,21.36,4.2,0.58,0.31,0.62,21.31,23.94,21.13,0.0,0.0,23.75,23.5,22.75,
4.195,21.4,4.08,0.68,0.31,0.58,21.31,23.88,21.13,0.0,0.0,23.75,23.5,22.75,
4.193,21.3,4.45,0.59,0.3,0.57,21.31,23.94,21.13,0.0,0.0,23.75,23.5,22.75,
4.191,21.36,4.2,0.55,0.22,0.6,21.31,23.88,21.13,0.0,0.0,23.75,23.5,22.75,
4.187,21.27,4.2,0.6,0.29,0.62,21.31,23.88,21.13,0.0,0.0,23.75,23.5,22.75,
4.168,21.43,4.33,0.59,0.31,0.59,21.31,23.88,21.13,0.0,0.0,23.75,23.5,23.0,
4.155,21.36,4.2,0.59,0.27,0.57,21.31,23.88,21.13,0.0,0.0,23.75,23.5,22.75,
4.12,21.36,4.08,0.6,0.3,0.6,21.31,23.88,21.13,0.0,0.0,23.75,23.5,23.0,
1.134,21.33,4.2,0.59,0.31,0.6,21.31,23.88,21.13,0.0,0.0,23.75,23.5,22.75,
0.96,21.43,4.33,0.57,0.3,0.58,21.31,23.88,21.13,0.0,0.0,23.75,23.5,23.0,
1.149,21.27,4.33,0.59,0.27,0.57,21.31,23.88,21.13,0.0,0.0,23.75,23.5,22.75,
0.814,21.3,4.2,0.59,0.26,0.59,21.31,23.88,21.13,0.0,0.0,23.75,23.5,22.75,
-0.405,21.3,4.33,0.57,0.26,0.55,21.31,23.88,21.13,0.0,0.0,23.75,23.5,23.0,
-0.924,21.4,4.2,0.58,0.3,0.6,21.31,23.88,21.13,0.0,0.0,23.75,23.5,22.75,
-1.814,21.4,4.2,0.57,0.27,0.6,21.31,23.88,21.13,0.0,0.0,23.75,23.5,23.0,
-2.03,21.33,4.2,0.6,0.27,0.57,21.31,23.88,21.13,0.0,0.0,23.75,23.5,23.0,
-2.423,21.3,4.33,0.55,0.27,0.54,21.31,23.88,21.13,0.0,0.0,23.75,23.5,22.75,
-2.736,21.27,4.57,0.58,0.27,0.6,21.31,23.88,21.13,0.0,0.0,23.75,23.5,22.75,
-2.915,21.33,4.2,0.59,0.26,0.57,21.31,23.81,21.13,0.0,0.0,23.75,23.5,23.0,
-2.838,21.12,4.33,0.55,0.27,0.55,21.31,23.81,21.13,0.0,0.0,23.75,23.5,22.75,
-3.072,21.3,4.33,0.57,0.3,0.55,21.31,23.81,21.13,0.0,0.0,23.75,23.5,22.75,
-3.229,21.36,4.45,0.58,0.3,0.58,21.31,23.81,21.13,0.0,0.0,23.75,23.5,23.0,
-3.165,21.36,4.33,0.55,0.3,0.58,21.31,23.81,21.13,0.0,0.0,23.75,23.5,23.0,
-3.222,21.33,4.45,0.6,0.31,0.59,21.31,23.81,21.13,0.0,0.0,24.0,23.5,23.0,
-3.369,21.36,4.57,0.57,0.3,0.58,21.31,23.81,21.13,0.0,0.0,23.75,23.5,23.0,
-3.271,21.33,4.45,0.59,0.31,0.58,21.31,23.81,21.13,0.0,0.0,23.75,23.5,22.75,
-3.485,21.36,4.69,0.59,0.33,0.59,21.31,23.81,21.13,0.0,0.0,24.0,23.5,22.75,
-3.641,21.21,4.69,0.6,0.31,0.57,21.31,23.81,21.13,0.0,0.0,23.75,23.5,23.0,
-3.576,21.43,4.69,0.58,0.27,0.58,21.31,23.81,21.13,0.0,0.0,23.75,23.5,23.0,
-3.666,21.43,4.94,0.59,0.29,0.57,21.31,23.81,21.13,0.0,0.0,23.75,23.5,23.0,
-3.659,21.27,4.94,0.57,0.29,0.59,21.31,23.81,21.13,0.0,0.0,23.75,23.5,22.75,
-3.45,21.36,5.18,0.59,0.3,0.55,21.31,23.81,21.13,0.0,0.0,23.75,23.5,23.0,
-2.271,21.4,5.3,0.58,0.3,0.6,21.31,23.75,21.13,0.0,0.0,24.0,23.5,22.75,
1.168,21.36,5.43,0.58,0.29,0.6,21.31,23.75,21.13,0.0,0.0,23.75,23.5,23.0,
4.111,21.4,5.55,0.6,0.29,0.57,21.31,23.75,21.13,0.0,0.0,24.0,23.5,22.75,
4.176,21.36,5.55,0.55,0.26,0.59,21.31,23.75,21.13,0.0,0.0,23.75,23.5,23.0,
4.187,21.33,5.67,0.59,0.3,0.58,21.31,23.75,21.13,0.0,0.0,24.0,23.5,23.0,
4.191,21.36,5.67,0.55,0.27,0.59,21.31,23.75,21.13,0.0,0.0,24.0,23.5,23.0,
4.195,21.3,5.79,0.59,0.31,0.6,21.31,23.75,21.13,0.0,0.0,24.0,23.5,22.75,
4.197,21.3,5.79,0.57,0.31,0.59,21.31,23.75,21.13,0.0,0.0,24.0,23.5,22.75,
4.198,21.27,6.04,0.57,0.27,0.58,21.31,23.75,21.13,0.0,0.0,23.75,23.5,22.75,
4.199,21.36,6.16,0.59,0.26,0.59,21.31,23.75,21.13,0.0,0.0,24.0,23.5,23.0,
4.2,21.46,6.4,0.6,0.31,0.6,21.31,23.75,21.13,0.0,0.0,23.75,23.5,22.75,
4.2,21.3,6.65,0.58,0.31,0.59,21.31,23.75,21.13,0.0,0.0,23.75,23.5,23.0,
4.2,21.3,6.65,0.59,0.29,0.58,21.31,23.75,21.13,0.0,0.0,23.75,23.5,22.75,
